manufacturer,manufacturerLabel,countryLabel,headquartersLabel,coordinates
http://www.wikidata.org/entity/Q54263821,Relativity Space,США,Лонг-Бич,
http://www.wikidata.org/entity/Q54263821,Relativity Space,США,Инглвуд,
http://www.wikidata.org/entity/Q98584518,Renault,Франция,Булонь-Бийанкур,
http://www.wikidata.org/entity/Q7337143,Rocketdyne,США,Лос-Анджелес,
http://www.wikidata.org/entity/Q4500864,Rolls-Royce North America,США,Рестон,
http://www.wikidata.org/entity/Q783941,Rolls-Royce Turbomeca Limited,Великобритания,,
http://www.wikidata.org/entity/Q696808,Rotax,Канада,Гунскирхен,
http://www.wikidata.org/entity/Q15137132,Ruston Proctor,Великобритания,,
http://www.wikidata.org/entity/Q1931670,Safran Power Units,Франция,Тулуза,
http://www.wikidata.org/entity/Q2239103,Schlepperwerk Nordhausen,ГДР,Нордхаузен,
http://www.wikidata.org/entity/Q860643,Siddeley-Deasy,Великобритания,Ковентри,
http://www.wikidata.org/entity/Q820588,Siemens Gamesa Renewable Energy,Испания,Гамбург,
http://www.wikidata.org/entity/Q820588,Siemens Gamesa Renewable Energy,Испания,Самудио,
http://www.wikidata.org/entity/Q820588,Siemens Gamesa Renewable Energy,Испания,Бранне,
http://www.wikidata.org/entity/Q131651011,SolidSail Mast Factory,Франция,Ланесте,
http://www.wikidata.org/entity/Q118511389,Summa Technology,США,Хантсвилл,
http://www.wikidata.org/entity/Q181642,Suzuki Motor Corporation,Япония,Хамамацу,
http://www.wikidata.org/entity/Q7696135,Teledyne Turbine Engines,США,Толидо,
http://www.wikidata.org/entity/Q2420728,Thielert,Германия,Гамбург,
http://www.wikidata.org/entity/Q53268,Toyota,Япония,Тоёта,
http://www.wikidata.org/entity/Q3920489,ULPower Aero Engines,Бельгия,Зоннебеке,
http://www.wikidata.org/entity/Q9380475,WSW Andoria,Польша,,Point(19.3353 49.8583)
http://www.wikidata.org/entity/Q59186,Walter Aircraft Engines,Чехия,Прага,Point(14.375322222 50.055986111)
http://www.wikidata.org/entity/Q110074424,"Warchalowski, Eissler & Co.",Австрия,Вена,
http://www.wikidata.org/entity/Q110074424,"Warchalowski, Eissler & Co.",Австрия,Оттакринг,
http://www.wikidata.org/entity/Q4018221,Warner Aircraft Corporation,США,Детройт,
http://www.wikidata.org/entity/Q623503,William Beardmore and Company,Великобритания,Parkhead,
http://www.wikidata.org/entity/Q2032942,Williams International,США,Коммерс (Мичиган),
http://www.wikidata.org/entity/Q1971987,Wright Aeronautical,США,Нью-Джерси,
http://www.wikidata.org/entity/Q492062,Wright-Martin,США,,
http://www.wikidata.org/entity/Q520763,Yanmar,Япония,Chayamachi,
http://www.wikidata.org/entity/Q336802,ČKD-Praga,Чехословакия,,
http://www.wikidata.org/entity/Q52825,ABB,Швейцария,Цюрих,
http://www.wikidata.org/entity/Q52825,ABB,Швейцария,Вестерос,
http://www.wikidata.org/entity/Q105638404,ABL Space Systems,США,Лонг-Бич,
http://www.wikidata.org/entity/Q2860871,Adwen,Германия,Бремерхафен,
http://www.wikidata.org/entity/Q16970526,Aerojet Rocketdyne,США,Ранчо-Кордова,
http://www.wikidata.org/entity/Q94094,Aichi,Япония,Нагоя,
http://www.wikidata.org/entity/Q26921,Alfa Romeo,Италия,Турин,
http://www.wikidata.org/entity/Q238765,Alliant Techsystems,США,Арлингтон,
http://www.wikidata.org/entity/Q309084,Alstom,Франция,Сент-Уан-сюр-Сен,
http://www.wikidata.org/entity/Q26952,Alvis Cars,Великобритания,Ковентри,
http://www.wikidata.org/entity/Q383589,American Locomotive Company,США,Нью-Йорк,
http://www.wikidata.org/entity/Q383589,American Locomotive Company,США,Скенектади,
http://www.wikidata.org/entity/Q781156,Austin Motor Company,Марокко,Бирмингем,
http://www.wikidata.org/entity/Q27091,Austro-Daimler,Австрия,Австрия,
http://www.wikidata.org/entity/Q27091,Austro-Daimler,Австрия,Винер-Нойштадт,
http://www.wikidata.org/entity/Q27143,Avia,Чехия,Прага,
http://www.wikidata.org/entity/Q804868,Baldwin Locomotive Works,США,Eddystone,
http://www.wikidata.org/entity/Q813639,Bechtel,США,Рестон,
http://www.wikidata.org/entity/Q815695,Bell Aircraft,США,Буффало,
http://www.wikidata.org/entity/Q203020,Benz & Cie.,Германия,Мангейм,
http://www.wikidata.org/entity/Q633316,Blackburn Aircraft,Великобритания,Brough,
http://www.wikidata.org/entity/Q885836,Blue Origin,США,Вашингтон,
http://www.wikidata.org/entity/Q885836,Blue Origin,США,Кент,
http://www.wikidata.org/entity/Q325288,Brandenburgische Motorenwerke,Германия,Берлин,
http://www.wikidata.org/entity/Q2046187,British Leyland Motor Corporation,Великобритания,Cowley,
http://www.wikidata.org/entity/Q2046187,British Leyland Motor Corporation,Великобритания,Лонгбридж,
http://www.wikidata.org/entity/Q386065,British Motor Corporation,Великобритания,Бирмингем,
http://www.wikidata.org/entity/Q27415,Buick,США,Детройт,
http://www.wikidata.org/entity/Q459965,Caterpillar,США,Ирвинг,
http://www.wikidata.org/entity/Q765925,Chantiers de l'Atlantique,Франция,Сен-Назер,
http://www.wikidata.org/entity/Q172740,Cosworth,Великобритания,Нортгемптон,
http://www.wikidata.org/entity/Q173476,Cummins,США,Колумбус,
http://www.wikidata.org/entity/Q1145694,Curtiss Aeroplane and Motor Company,США,Буффало,
http://www.wikidata.org/entity/Q1138291,Curtiss-Wright,США,Шарлотт,
http://www.wikidata.org/entity/Q27511,Daihatsu,Япония,Осака,
http://www.wikidata.org/entity/Q27539,Daimler Motor Company,Великобритания,Ковентри,
http://www.wikidata.org/entity/Q541477,Daimler-Benz,Германия,Штутгарт,
http://www.wikidata.org/entity/Q699551,Daimler-Motoren-Gesellschaft,Германский рейх,Берлин,
http://www.wikidata.org/entity/Q699551,Daimler-Motoren-Gesellschaft,Германский рейх,Штутгарт,
http://www.wikidata.org/entity/Q283666,De Havilland,Великобритания,Хартфордшир,
http://www.wikidata.org/entity/Q283666,De Havilland,Великобритания,Хатфилд,
http://www.wikidata.org/entity/Q533617,Deutz AG,Германия,Кёльн,
http://www.wikidata.org/entity/Q499207,EADS Astrium,Франция,Париж,
http://www.wikidata.org/entity/Q499207,EADS Astrium,Франция,Оттобрунн,
http://www.wikidata.org/entity/Q568501,Electro-Motive Diesel,США,Ла-Грейндж,
http://www.wikidata.org/entity/Q508839,Enercon,Германия,Аурих,
http://www.wikidata.org/entity/Q1342423,Engine Alliance,США,Ист-Хартфорд,
http://www.wikidata.org/entity/Q80281,FPT Industrial,Италия,Турин,
http://www.wikidata.org/entity/Q27586,Ferrari,Италия,Маранелло,
http://www.wikidata.org/entity/Q27597,Fiat,Италия,Турин,
http://www.wikidata.org/entity/Q3071233,Fiat Aviazione,Италия,Турин,
http://www.wikidata.org/entity/Q940689,Fiat Group,Италия,Турин,
http://www.wikidata.org/entity/Q44294,Ford,США,Дирборн,
http://www.wikidata.org/entity/Q1485061,GE Aviation,США,Evendale,
http://www.wikidata.org/entity/Q634056,GE Wind Energy,Германия,Зальцберген,
http://www.wikidata.org/entity/Q597047,GKN,Великобритания,Реддитч,
http://www.wikidata.org/entity/Q1501547,General Atomics,США,Сан-Диего,
http://www.wikidata.org/entity/Q502940,General Dynamics,США,Рестон,
http://www.wikidata.org/entity/Q54173,General Electric,США,Бостон,
http://www.wikidata.org/entity/Q1090900,Goldwind,Китай,Урумчи,
http://www.wikidata.org/entity/Q275623,Groupe PSA,Франция,Рюэй-Мальмезон,
http://www.wikidata.org/entity/Q5616943,Guizhou Aircraft Industry Corporation,Китай,Шэньян,
